[j]2026/02/25 12:06:31 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 3.274e-06, ssd time: 0, layer transfer time: 4.7499e-05, total time: 5.0773e-05, layer compressed size: 1410 
[j]2026/02/25 12:06:31 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.032434707, layer transfer time: 0.063972594, total time: 0.096407301, layer compressed size: 28230129 
[j]2026/02/25 12:06:31 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 3.737e-06, ssd time: 0, layer transfer time: 4.7861e-05, total time: 5.1598e-05, layer compressed size: 1410 
[j]2026/02/25 12:06:32 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 2.076e-06, ssd time: 0, layer transfer time: 0.000169018, total time: 0.000171094, layer compressed size: 6 
[j]2026/02/25 12:06:32 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 4.022e-06, ssd time: 0, layer transfer time: 4.8372e-05, total time: 5.2394e-05, layer compressed size: 1213 
[j]2026/02/25 12:06:32 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 3.828e-06, ssd time: 0, layer transfer time: 5.8953e-05, total time: 6.278100000000001e-05, layer compressed size: 950 
[j]2026/02/25 12:06:32 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 3.596e-06, ssd time: 0, layer transfer time: 4.7726e-05, total time: 5.1321999999999994e-05, layer compressed size: 393 
[j]2026/02/25 12:06:33 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 2.787e-06, ssd time: 0, layer transfer time: 4.7854e-05, total time: 5.0641e-05, layer compressed size: 393 
[j]2026/02/25 12:06:33 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 4.004e-06, ssd time: 0, layer transfer time: 6.6155e-05, total time: 7.0159e-05, layer compressed size: 951 
[j]2026/02/25 12:06:33 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 2.967e-06, ssd time: 0, layer transfer time: 6.3611e-05, total time: 6.6578e-05, layer compressed size: 6 
[j]2026/02/25 12:06:33 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.013325259, layer transfer time: 0.063300698, total time: 0.07662595700000001, layer compressed size: 29778632 
[j]2026/02/25 12:06:33 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.044028507, layer transfer time: 0.082072737, total time: 0.126101244, layer compressed size: 33139958 
[j]2026/02/25 12:06:34 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 2.96e-06, ssd time: 0, layer transfer time: 6.548e-05, total time: 6.844e-05, layer compressed size: 1213 
[j]2026/02/25 12:06:34 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 3.238e-06, ssd time: 0, layer transfer time: 5.2618e-05, total time: 5.5855999999999995e-05, layer compressed size: 1410 
[j]2026/02/25 12:44:53 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.109959527, layer transfer time: 0.110801751, total time: 0.220761278, layer compressed size: 28227259 
[j]2026/02/25 12:44:53 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.061747832, layer transfer time: 0.180624243, total time: 0.242372075, layer compressed size: 43916545 
[j]2026/02/25 12:44:53 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.64018932, layer transfer time: 9.3947e-05, total time: 0.6402832669999999, layer compressed size: 393 
[j]2026/02/25 12:44:53 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.642381563, layer transfer time: 6.7206e-05, total time: 0.642448769, layer compressed size: 950 
[j]2026/02/25 12:44:53 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.441925389, layer transfer time: 8.1621e-05, total time: 0.44200701, layer compressed size: 6 
[j]2026/02/25 12:44:54 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.40144742, layer transfer time: 0.000283157, total time: 0.401730577, layer compressed size: 1213 
[j]2026/02/25 12:44:54 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.394414942, layer transfer time: 4.9816e-05, total time: 0.39446475799999997, layer compressed size: 1410 
[j]2026/02/25 12:44:55 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.041845011, layer transfer time: 0.095888748, total time: 0.137733759, layer compressed size: 44151007 
[j]2026/02/25 12:44:55 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.030785027, layer transfer time: 0.083811717, total time: 0.114596744, layer compressed size: 28230129 
[j]2026/02/25 12:44:55 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.273680266, layer transfer time: 5.2509e-05, total time: 0.273732775, layer compressed size: 6 
[j]2026/02/25 12:44:56 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.394716707, layer transfer time: 5.4158e-05, total time: 0.394770865, layer compressed size: 1410 
[j]2026/02/25 12:44:56 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.406080312, layer transfer time: 5.3312e-05, total time: 0.406133624, layer compressed size: 950 
[j]2026/02/25 12:44:56 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.405179243, layer transfer time: 4.718e-05, total time: 0.405226423, layer compressed size: 393 
[j]2026/02/25 12:44:56 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.397817543, layer transfer time: 5.3015e-05, total time: 0.397870558, layer compressed size: 1213 
[j]2026/02/25 12:44:56 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.028331157, layer transfer time: 0.071942041, total time: 0.100273198, layer compressed size: 29778632 
